,Unnamed: 0,Rank,Name,dataPrice
176,176,177.0,Burkina Faso,4.52
177,177,178.0,Svalbard and Jan Mayen,4.65
178,178,179.0,Togo,4.69
179,179,180.0,South Korea,4.72
180,180,181.0,Cape Verde,4.78
181,181,182.0,Lebanon,4.81
182,182,183.0,Gabon,4.82
183,183,184.0,Madagascar,5.14
184,184,185.0,Switzerland,5.24
185,185,186.0,Guyana,5.25
186,186,187.0,Belgium,5.28
187,187,188.0,Mauritania,5.56
188,188,189.0,Taiwan,5.67
189,189,190.0,Canada,5.72
190,190,191.0,Norway,5.81
191,191,192.0,Gambia,5.86
192,192,193.0,Bahamas,5.98
193,193,194.0,Vanuatu,6.06
194,194,195.0,Tuvalu,6.35
195,195,196.0,Curaçao,6.47
196,196,197.0,New Caledonia,6.49
197,197,198.0,Barbados,6.79
198,198,199.0,New Zealand,6.99
199,199,200.0,Syria,7.15
200,200,201.0,Niue,7.37
201,201,202.0,Andorra,7.49
202,202,203.0,Cuba,7.50
203,203,204.0,British Indian Ocean Territory,7.50
204,204,205.0,United Arab Emirates,7.62
205,205,206.0,Nauru,7.62
206,206,207.0,Solomon Islands,7.83
207,207,208.0,Micronesia (Federated States of),7.85
208,208,209.0,Turks and Caicos Islands,8.00
209,209,210.0,Czech Republic,8.15
210,210,211.0,Greece,8.16
211,211,212.0,Seychelles,8.64
212,212,213.0,Cyprus,8.84
213,213,214.0,Central African Republic,9.03
214,214,215.0,Virgin Islands (British),9.54
215,215,216.0,Kiribati,9.94
216,216,217.0,Caribbean Netherlands,10.94
217,217,218.0,Cayman Islands,11.97
218,218,219.0,Cocos (Keeling) Islands,13.47
219,219,220.0,Yemen,15.98
220,220,221.0,Bermuda,19.80
221,221,222.0,Tokelau,20.48
222,222,223.0,Turkmenistan,21.41
223,223,224.0,Namibia,22.37
224,224,225.0,Chad,23.33
225,225,226.0,Malawi,25.46
226,226,227.0,São Tomé and Príncipe,30.97
227,227,228.0,Saint Helena,39.87
228,228,229.0,Falkland Islands,44.56
229,229,230.0,Equatorial Guinea,49.67
