Date,Change
9/24/12,-3.27
9/25/12,-15.3
9/26/12,-8.27
9/27/12,13.84
9/28/12,-6.48
10/1/12,3.81
10/2/12,1.27
10/3/12,5.24
10/4/12,10.4
10/5/12,-0.47
10/8/12,-5.05
10/9/12,-14.39
10/10/12,-8.92
10/11/12,0.28
10/12/12,-4.25
10/15/12,11.54
10/16/12,14.8
10/17/12,5.99
10/18/12,-3.57
10/19/12,-24.15
10/22/12,0.63
10/23/12,-20.71
10/24/12,-4.36
10/25/12,4.22
10/26/12,-1.03
10/31/12,0.22
11/1/12,15.43
11/2/12,-13.39
11/5/12,3.06
11/6/12,11.13
11/7/12,-33.86
11/8/12,-17.03
11/9/12,2.34
11/12/12,0.18
11/13/12,-5.5
11/14/12,-19.04
11/15/12,-2.16
11/16/12,6.55
11/19/12,27.01
11/20/12,0.93
11/21/12,3.21
11/23/12,18.13
11/26/12,-2.86
11/27/12,-7.35
11/28/12,10.99
11/29/12,6.02
11/30/12,0.23
12/3/12,-6.72
12/4/12,-2.41
12/5/12,2.23
12/6/12,4.67
12/7/12,4.13
12/10/12,0.47
12/11/12,9.29
12/12/12,0.64
12/13/12,-9.03
12/14/12,-5.87
12/17/12,16.78
12/18/12,16.43
12/19/12,-10.98
12/20/12,7.88
12/21/12,-13.54
12/24/12,-3.49
12/26/12,-6.84
12/27/12,-1.73
12/28/12,-15.67
12/31/12,23.76
1/2/13,36.23
1/3/13,-3.06
1/4/13,7.1
1/7/13,-4.58
1/8/13,-4.74
1/9/13,3.87
1/10/13,11.1
1/11/13,-0.07
1/14/13,-1.38
1/15/13,1.66
1/16/13,0.29
1/17/13,8.31
1/18/13,5.04
1/22/13,6.58
1/23/13,2.25
1/24/13,0.01
1/25/13,8.14
1/28/13,-2.78
1/29/13,7.66
1/30/13,-5.88
1/31/13,-3.85
2/1/13,15.06
2/4/13,-17.46
2/5/13,15.58
2/6/13,0.83
2/7/13,-2.72
2/8/13,8.53
2/11/13,-0.92
2/12/13,2.42
2/13/13,0.9
2/14/13,1.05
2/15/13,-1.59
2/19/13,11.15
2/20/13,-18.99
2/21/13,-9.53
2/22/13,13.18
2/25/13,-27.75
2/26/13,9.1
2/27/13,19.04
2/28/13,-1.31
3/1/13,3.52
3/4/13,7
3/5/13,14.59
3/6/13,1.67
3/7/13,2.8
3/8/13,6.92
3/11/13,5.05
3/12/13,-3.75
3/13/13,2.04
3/14/13,8.72
3/15/13,-2.54
3/18/13,-8.59
3/19/13,-3.76
3/20/13,10.37
3/21/13,-12.91
3/22/13,11.08
3/25/13,-5.19
3/26/13,12.08
3/27/13,-0.92
